date,mm_per_day
6/21/2014, 0.02358413362041518
6/22/2014, 0.985517120177226
6/23/2014, 0.19734206745431937
6/24/2014, 0.04644652819554857
6/25/2014, 0.34746443036638336
6/26/2014, 0.3617323182410784
6/27/2014, 2.1103963623079602
6/28/2014, 0.9364582146352254
6/29/2014, 0
6/30/2014, 0
7/1/2014, 0.004701101297628663
7/2/2014, 0.00010058928243013849
7/3/2014, 0.00002647032733768625
7/4/2014, 0.0068536444375395895
7/5/2014, 0.15048006751548382
7/6/2014, 3.4191393577231413
7/7/2014, 0.7390341800278842
7/8/2014, 0.10768741401369412
7/9/2014, 0.0010858932557711893
7/10/2014, 0.008465068213795262
7/11/2014, 0
7/12/2014, 0.01474695420218533
7/13/2014, 0.021215095032149033
7/14/2014, 0.010685834264066144
7/15/2014, 0
